Fname,Lname,Address,PhoneNumber,Email,Ssn,DateOfBirth,AccountType,Balance,DateOpened,TransactionType,CurrencyCode,Amount,TransactionDate
Aristos,Petrou,436 Spruce St,708-770-5020,petrou@yahoo.com,234156894,1971-09-24,Checking,7473.95,1998-05-06,Purchase,USD,1430.75,2026-03-26
Scott,Arceneaux,46 Jefferson St,815-531-2569,scotty66@gmail.com,806234561,1961-08-18,Savings,11355.23,1998-06-05,Purchase,USD,3433.39,2026-03-27
Elizabeth,Grant,22 Shady Ln,773-704-4333,ldr@hotmail.com,167453674,1977-10-08,Checking,19394.75,1994-05-03,Deposit,USD,3866.13,2026-03-28
Carlos,Robinson,166 Lincoln St,206-735-8233,carlosrob@mail.com,243678654,1955-06-01,Retirement,15669.37,1995-01-03,Deposit,USD,2323.25,2026-03-29
Robyn,Fenty,56 N Hill St,815-705-4950,robynf@gmail.com,453675424,1981-11-09,Savings,11685.15,2004-05-12,Deposit,USD,3833.61,2026-03-30
Stefani,Germanotta,77 Willow Dr,708-603-3092,germanotta@comcast.net,327854905,1986-02-03,Business,47803.36,2003-05-23,Purchase,CNY,674.92,2026-03-31
Ella,O'Connor,619 Short St,708-407-4857,ellaoconnor@gmail.com,305763851,2003-03-11,Student,2511.8,2024-04-17,Withdrawal,USD,612.38,2026-04-01
Farrokh,Bulsara,35 Water Ave,815-5468181,buls222@yahoo.com,368954712,1959-06-12,Checking,7508.18,2001-09-22,Withdrawal,USD,396,2026-04-02
Calvin,Broadus,659 Locust St,309-954-9139,cb@mail.com,423675498,1966-06-04,Savings,20652.43,1982-05-03,Withdrawal,USD,199.17,2026-04-03
Eric,Blair,25 Ash St,305-715-7365,ericb@yahoo.com,543765424,1992-06-07,Business,14427.2,2009-04-19,Withdrawal,INR,93.93,2026-04-04
Samuel,Clemens,788 Poplar Ln,312-360-9413,samclem@hotmail.com,214567342,1967-02-16,Savings,2208.52,2012-06-06,Deposit,USD,531.2,2026-04-05
Charles,Dodgson,22 Central Ave,853-307-2654,cdodgson@yahoo.com,102839465,1971-03-17,Checking,14372.66,1996-12-23,Purchase,USD,1839.45,2026-04-06
Agatha,Miller,60 Front St,404-445-2653,am313@mail.com,287341647,1985-02-04,Investment,18923.45,2005-03-24,Deposit,USD,168.91,2026-04-07
Chloe,Wofford,333 East St,864-469-0718,cw@yahoo.com,523464892,1954-01-07,Retirement,171122.26,1984-11-13,Deposit,USD,2246.69,2026-04-08
Misty,Day,68 Vine St,661-505-6354,mday@mail.com,234168965,1970-04-21,Savings,8077.88,1999-10-23,Purchase,USD,413.73,2026-04-09
Myrtle,Snow,75 Hillcrest Dr,309-642-8764,myrsno@comcast.net,245631790,2002-08-27,Student,3377.29,2024-06-13,Purchase,USD,179.07,2026-04-10
Madison,Montgomery,69 Birch St,312-989-8668,madmad@comcast.net,109642758,1978-11-07,Savings,1459.39,1995-01-14,Purchase,USD,430.26,2026-04-11
Betty,Page,808 Grove St,305-351-1620,betpage@yahoo.com,423456211,1976-09-15,Business,34068.51,1998-04-02,Purchase,CHF,871.51,2026-04-12
Kyle,Spence,829 Green Dr,309-593-2131,kspence@mail.com,278490435,1960-08-04,Savings,5477.02,1986-06-08,Deposit,USD,749.06,2026-04-13
Zoe,Benson,65 Riverside Dr,954-303-5118,zbenson@hotmail.com,275349605,1964-04-23,Checking,7967.44,2003-05-19,Purchase,USD,383.65,2026-04-14
Cordelia,Fox,9 Cemetary Rd,908-632-0989,cfox@gmail.com,156498367,1999-11-22,Business,21885.63,2017-09-12,Withdrawal,EUR,350.53,2026-04-15
Donna,Tartt,369 Fairway St,224-806-5904,donnatartt@yahoo.com,352712874,1975-02-03,Retirement,101474.97,1999-12-04,Deposit,USD,365.44,2026-04-16
Fiona,Good,6 Cemetary Rd,309-340-3809,fgood@gmail.com,174832658,1967-01-03,Checking,1478.86,1989-04-15,Withdrawal,USD,585.29,2026-04-17
Joan,Ramsey,6330 Terrence Dr,305-837-6224,joram@comcast.net,259527465,1999-03-23,Savings,6779.7,2015-08-17,Deposit,USD,364.4,2026-04-18
